Title,Likes,Views,Date_Time,video_link,Description
BB Ki Vines- | Ghar Kalesh |,View,15M views,3 months ago,https://www.youtube.com/watch?v=PJ3ZQk_lr9E,"Titu Mama comes rushing to Bhuvan's house after Janki's sudden phone call.
VOTE for Taaza Khabar (Filmfare Awards OTT 2023): https://www.filmfare.com/awards/filmf... 

WATCH TAKESHI'S CASTLE: 
https://www.primevideo.com/detail/0MB...

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam  

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK

Special thanks to Shubham Dubey

#GharKalesh #bbkivines #bhuvanbam"
BB Ki Vines- | Love Ka Hakkar |,View,22M views,9 months ago,https://www.youtube.com/watch?v=UrIaQbIK2E4,"Sameer has fallen in love! Bhuvan and Bancho try to wrap their heads around this rare sight.

Play 100+ games like Ludo, Carrom, and Cricket with 10 Cr+ users and win cash.
Download WinZO and Get Rs.550 free
Link - https://winzo.onelink.me/VS3O/o3qfzvkp

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK

Buy my merchandise from https://youthiapa.com/
#bbkivines #LoveKaHakkar #sameerfuddi"
BB Ki Vines Productions | Haseen Raat | Taaza Khabar | Official Video |,View,13M views,1 year ago,https://www.youtube.com/watch?v=Nwh6CQ50h0g,"Watch #HotstarSpecials Taaza Khabar only on Disney+ Hotstar: http://www.hotstar.com/1260127221

Haseen Raat, soundtrack from Hotstar Specials’ Taaza Khabar. Sung by Dev Negi, music composed by Aditya Dev and penned by Rashmi Virag.

A roller coaster of emotions, comedy, romance, action and drama, Hotstar Specials’ Taaza Khabar is an all-in-one package. Marking the debut OTT debut of social media sensation Bhuvan Bam, the series is a modern-day tale that dismantles the boon and banes of miracles. Produced by Rohit Raj & Bhuvan Bam under the banner BB Ki Vines productions, directed by Himank Gaur and written by the duo Hussain & Abbas Dalal, the series is exclusively available on Disney+ Hotstar.

Song Composed & Produced: Aditya Dev
Singer: Dev Negi 
Lyricist: Rashmi Virag
Song Recorded at ADM Studioz

A BBKV Production

Producer: Rohit Raj & Bhuvan Bam
Co Producer: Arvin Bhandari
Director / Choreographer: Ruel Dausan Varindani
DOP: Vikrant Thakur
Line Producer: Rajeev Dubey / Paritosh Soni
Costume Stylist: Henna Akhtar
Editor & DI artist: Kishlay Tiwari
Art Director: Juhi
Production Controller: Sagar Sondagar
Production Manager: Abhishekh Gupta
Production Assistant: Rahul Mishra
Dancer Wardrobe: Khushboo
Chief AD: Rishikesh Nalawade
Choreographer Asst: Rishikesh Nalawade & Jeeya Ruia
Dancer Coordinator: Wonkru Etertainment Pvt. Ltd
1st AC: Nikhil
Focus Pullar: Sai Kadam & Arvind Gupta
BTS: Tushar
Makeup And Hair: Raj Kishore Singh, Yogita & team
Bhuvan’s Hair: Aalim Hakim
Camera: Lights: Tanvi Enterprises
Steady Cam: Laxman
Jimmy Jip: Nagraj
Light Supplier: Golden Light
Assistant Editor:  Ashton Fernandes & Gaurav Rawat
Production Boy head: Chandan Kumar
Production Boys: Ishwer, Robert, Satya, Jeetu, Raju, Suresh, Sunil, Deepak, Anupam.

#bhuvanbam #taazakhabar 

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  ."
BB Ki Vines | Angry Masterji Part 16,Show transcript,29M views,1 year ago,https://www.youtube.com/watch?v=HbTON0nb4DU,"Bhuvan, Bablooji and Sameer visit Bubbly sir to discuss Bhuvan's career plans. 

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Check out all episodes of Angry Masterji, here: https://bit.ly/3Inafve
Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK

Buy my merchandise from www.youthiapa.com

#bhuvanbam #AngryMasterji #bbkivines"
BB Ki Vines Productions- Taaza Khabar | Hotstar Specials | Official Trailer,View,20M views,1 year ago,https://www.youtube.com/watch?v=zm6xa3ggt5A,"Jaadu ya chamatkaar? Dhoka ya yaqeen? Vardaan ya shraap? 
Dekho Vasya ki anokhi kahani Hotstar Specials Taaza Khabar mein, all episodes streaming from Jan 6th, only on Disney+ Hotstar.

Disney+ Hotstar’s upcoming fantasy-drama series, Hotstar Specials presents Taaza Khabar explores just this with the one of India’s most beloved content creator, Bhuvan Bam in the lead. Set in Mumbai, this one-of-a-kind uplifting series will take viewers on a riveting ride of a man stumbling upon a miracle and the ripples it creates in his humble life. 

The series is being directed by Himank Gaur who previously directed Dhindora and is produced by Rohit Raj & Bhuvan Bam under the banner of BB Ki Vines Productions. The show has been penned by powerful writer duo Hussain Dalal & Abbas Dalal and also stars Shriya Pilgaonkar, JD Chakravarthy, Deven Bhojani, Prathmesh Parab, Shilpa Shukla, Mahesh Manjarekar and Nitya Mathur in pivotal roles.
 
Based on the life of a sanitation worker, the series light-heartedly depicts class-based poverty and the human desire to lead a better life. The Hotstar Specials series marks Bhuvan Bam’s first association with a streaming platform and will see him in an all-new fictional role.

#TaazaKhabarOnHotstar #BBKiVinesProductions #BhuvanBam

ABOUT: 
Bhuvan Bam is an actor, content creator, singer-songwriter and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam  

Follow  @bhuvanbam2006    for BTS & more updates.

Watch Dhindora:    • Dhindora  

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK

Buy my merchandise from www.youthiapa.com"
BB Ki Vines (Vlog #8)- | BB in Dubai |,View,10M views,1 year ago,https://www.youtube.com/watch?v=xNTW2KfErTM,"That's how I spent my weekend! A glimpse of my trip to Dubai in this 8th episode of BB Vlogs.

Bann Gayi Zindagi Remix: @AnshumanSharma1 
Shot by: Raj Satyani, Knox Artiste Films
Editor: Aditya Vora

Checkout my original music: https://bit.ly/3BohxZK

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Buy my merchandise from www.youthiapa.com

This is an all original work of BB Ki Vines.

#BBinDubai #bbkivines #bhuvanbam"
BB Ki Vines Productions - Taaza Khabar | Now Filming,View,10M views,1 year ago,https://www.youtube.com/watch?v=cVPI4ppiDSA,"With good Karma on one’s side, can one man set out to become a master of his own destiny? 

Disney+ Hotstar’s upcoming fantasy-drama series, Hotstar Specials presents Taaza Khabar explores just this with the one of India’s most beloved content creator, Bhuvan Bam in the lead. Set in Mumbai, this one-of-a-kind uplifting series will take viewers on a riveting ride of a man stumbling upon a miracle and the ripples it creates in his humble life. 

The series is being directed by Himank Gaur who previously directed Dhindora and is produced by Rohit Raj under the banner of BB Ki Vines Productions. The show has been penned by powerful writer duo Hussain Dalal & Abbas Dalal and also stars Shriya Pilgaonkar, JD Chakravarthy, Deven Bhojani, Prathmesh Parab and Nitya Mathur in pivotal roles.
 
Based on the life of a sanitation worker, the series light-heartedly depicts class-based poverty and the human desire to lead a better life. The Hotstar Specials series marks Bhuvan Bam’s first association with a streaming platform and will see him in an all-new fictional role.

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam  

Follow @BBKVProductions  for BTS & more updates.

#TaazaKhabarOnHotstar #BBKiVinesProductions #BhuvanBam

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK

Buy my merchandise from www.youthiapa.com"
BB Ki Vines- | Automatic Gaadi |,Show transcript,26M views,1 year ago,https://www.youtube.com/watch?v=xna_PkWzPVE,"Download WinZO and get Rs.50 Now - https://winzo.onelink.me/VS3O/1k8swrlj
#Ad 

Babloo and Bhuvan reach Sameer's house early in the morning to buy a new car! What will happen next?

Buy my merchandise from www.youthiapa.com

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

This is an all original work of BB Ki Vines.

#BBKiVines #BhuvanBam #Sameer"
"BB Ki Vines- | Titu Talks- Episode 4 ft. SS Rajamouli, Ram Charan, NTR Jr. |",View,24M views,1 year ago,https://www.youtube.com/watch?v=PgKxqbXO198,"In the 4th episode of Titu Talks, Titu mama gets hold of SS Rajamouli, Ram Charan and NTR Jr. at a chai tapri..

Direction: Tushar Mahajan

ABOUT: 
Bhuvan Bam is a comedian, singer-songwriter, actor and entrepreneur. He created the entire universe of BB Ki Vines, a content power house, to see more of his content follow him on

Instagram►   / bhuvan.bam22             
Facebook►   / bbkivines  
Twitter►  / bhuvan_bam   and   / bbkv22  .

Checkout Bhuvan Bam Originals: https://bit.ly/3BohxZK

Buy my merchandise from https://youthiapa.com/
#TituTalks #BhuvanBam #BBKiVines"
Dhindora | Saazish | Offical Lyrical Video | BB Ki Vines,View,13M views,2 years ago,https://www.youtube.com/watch?v=WEExPj6CMss,"Binge watch Dhindora: https://youtube.com/playlist?list=PLj...

Listen to Saazish: https://streamlink.to/Saazish

Subscribe to BB Ki Vines: https://bit.ly/3EGRzSj

Listen to Dhindora’s Album: https://streamlink.to/dhindora

Audio Credits:

Singer: Rekha Bhardwaj, Bhuvan Bam
Music Composer: Bhuvan Bam
Music Producer: Omkar Tamhan
Guitars & Strokes: Chaitanya Baidhkar
Keys: Kushal Chheda
Recorded at Bay Owl Studios & TAG Institute 
Mixed and Mastered by Shadab Rayeen @ New Edge Studios

Lyrical Video Credits:

JUST RIGHT STUDIOZ NX TEAM
CEO: Bunty Nagi
Managing Director: Manish More
Creative Partners: Suraj Thakur, Ankit Menon
Promo Producer: Chaitanya Bhise
Editors: Nikky Tyagi, Adhyayan More, Sanket Jadhav, Akshata Ovhal
Asst Editors: Kevin Parmar, Shubha Thakur, Sanket Bhoyar
Motion Graphics Artist: Mohammad Aqib, Nitin Patil

#Saazish #TootaEkTaara #Dhindora

A BB Ki Vines Productions"
